method,split,seed,episode,success,final_error,energy,max_contact_force,contact_violation,transfer_accept,false_accept,false_reject,contract_label,contract_score,contract_worst,onset_error,slip_error,force_slope_error,energy_error,lag_error,target_friction,target_mass,target_actuator_scale,sensor_bias_norm,action_note
random_push,high_friction,4,2,0,0.14522,0.36076,6.48186,0,1,1,0,1,0.59754,2.23214,2.23214,0.19241,0.32411,0.17919,0.05987,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,4,3,0,0.09028,0.41743,5.96146,0,1,1,0,0,0.29448,0.74405,0.74405,0.14482,0.36019,0.18601,0.03735,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,4,4,0,0.16370,0.31474,6.35360,0,1,1,0,1,0.57502,2.23214,2.23214,0.08725,0.34759,0.17913,0.02899,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,4,5,0,0.14946,0.35627,6.70928,0,1,1,0,1,1.45717,5.95238,5.95238,0.72734,0.33534,0.07798,0.19281,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,4,6,1,0.03892,0.47246,6.86459,0,1,0,0,0,0.29358,0.74405,0.74405,0.03882,0.44203,0.23823,0.00480,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,4,7,0,0.12452,0.34021,6.79935,0,1,1,0,1,0.48210,1.48810,1.48810,0.32308,0.38018,0.13882,0.08034,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,4,8,0,0.11984,0.46096,6.89330,0,1,1,0,1,0.46037,1.48810,1.48810,0.21935,0.34333,0.18228,0.06877,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,4,9,0,0.15673,0.33579,5.15212,0,1,1,0,1,0.66038,2.23214,2.23214,0.45734,0.35258,0.13433,0.12551,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,4,10,0,0.11912,0.41568,7.27378,0,1,1,0,0,0.31387,0.74405,0.74405,0.07900,0.45816,0.25992,0.02822,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,4,11,0,0.22394,0.28749,6.77709,0,1,1,0,1,0.77324,2.97619,2.97619,0.33975,0.34384,0.12105,0.08539,1.2500,0.1650,0.9600,0.00000,random
random_push,low_friction,0,0,1,0.03413,0.39647,1.99527,0,1,0,0,1,0.56426,2.23214,2.23214,0.21809,0.19593,0.11055,0.06462,0.2200,0.1500,1.0400,0.00000,random
random_push,low_friction,0,1,1,0.04532,0.31002,2.56911,0,1,0,0,1,0.62296,2.23214,2.23214,0.39456,0.21929,0.14455,0.12428,0.2200,0.1500,1.0400,0.00000,random
random_push,low_friction,0,2,0,0.11325,0.29538,2.39201,0,1,1,0,0,0.07534,0.16383,0.00000,0.08383,0.16383,0.10074,0.02828,0.2200,0.1500,1.0400,0.00000,random
random_push,low_friction,0,3,0,0.17542,0.26011,2.04795,0,1,1,0,1,0.39186,1.48810,1.48810,0.09904,0.22091,0.12468,0.02658,0.2200,0.1500,1.0400,0.00000,random
random_push,low_friction,0,4,1,0.06365,0.27156,2.31229,0,1,0,0,1,0.65411,2.23214,2.23214,0.45888,0.31985,0.15163,0.10805,0.2200,0.1500,1.0400,0.00000,random
random_push,low_friction,0,5,1,0.04278,0.29385,2.08698,0,1,0,0,1,0.80433,2.97619,2.97619,0.44508,0.26678,0.19585,0.13774,0.2200,0.1500,1.0400,0.00000,random
random_push,low_friction,0,6,0,0.09358,0.42015,2.92140,0,1,1,0,1,0.42115,1.48810,1.48810,0.27668,0.15990,0.09213,0.08897,0.2200,0.1500,1.0400,0.00000,random
random_push,low_friction,0,7,0,0.09400,0.37295,2.45429,0,1,1,0,0,0.23028,0.74405,0.74405,0.11561,0.16230,0.08950,0.03996,0.2200,0.1500,1.0400,0.00000,random
random_push,low_friction,0,8,0,0.09529,0.35602,2.34668,0,1,1,0,1,0.79160,2.97619,2.97619,0.50004,0.24354,0.13266,0.10557,0.2200,0.1500,1.0400,0.00000,random
random_push,low_friction,0,9,1,0.02286,0.33087,3.26736,0,1,0,0,0,0.25991,0.74405,0.74405,0.13035,0.23501,0.14724,0.04291,0.2200,0.1500,1.0400,0.00000,random
random_push,low_friction,0,10,0,0.15547,0.37485,1.81527,0,1,1,0,1,0.56952,2.23214,2.23214,0.17477,0.23828,0.14369,0.05872,0.2200,0.1500,1.0400,0.00000,random
random_push,low_friction,0,11,0,0.14370,0.29809,2.59203,0,1,1,0,1,0.41536,1.48810,1.48810,0.14101,0.26630,0.17213,0.00925,0.2200,0.1500,1.0400,0.00000,random
random_push,low_friction,1,0,1,0.06866,0.36951,1.99847,0,1,0,0,0,0.30789,0.74405,0.74405,0.42042,0.19328,0.10926,0.07247,0.2200,0.1500,1.0400,0.00000,random
random_push,low_friction,1,1,1,0.05763,0.38561,3.94099,0,1,0,0,1,1.44553,5.95238,5.95238,0.69164,0.21681,0.14791,0.21893,0.2200,0.1500,1.0400,0.00000,random
random_push,low_friction,1,2,1,0.02093,0.37788,2.70746,0,1,0,0,1,0.95349,3.72024,3.72024,0.49929,0.22811,0.16337,0.15642,0.2200,0.1500,1.0400,0.00000,random
random_push,low_friction,1,3,0,0.10238,0.25369,2.03095,0,1,1,0,0,0.12613,0.31080,0.00000,0.11348,0.31080,0.17678,0.02958,0.2200,0.1500,1.0400,0.00000,random
random_push,low_friction,1,4,0,0.07600,0.29551,2.84713,0,1,1,0,0,0.29192,0.74405,0.74405,0.25848,0.24703,0.16403,0.04602,0.2200,0.1500,1.0400,0.00000,random
